,comments,dateStamp
124,"Let's see no prevention, doesn't remove societal constraints and has a potential of frequent rare effects. I would say it's pretty self explanatory",2021-05-28T14:04:25Z
125,Patrick Mckeown Buteyko Breathing exercises can help get you’re breathing under control when you are coughing or wheezing out of control when you have infection. #patrickmckeown 🙏🏻,2021-05-28T13:38:33Z
126,Pheidippides!,2021-05-28T13:26:53Z
127,"""Few kids""",2021-05-30T12:34:26Z
128,My son blackout in school yesterday and was unresponsive. He Had an ECG and blood work done and he has inflammation around his heart. Please monitor your child carefully.,2021-05-29T14:35:53Z
129,"If there's no uptick of myocarditis in unvaccinated kids, then it's the vaccine. It's not exactly rocket science.",2021-05-29T04:37:49Z
130,"Kids are in a very low risk group for this virus.  
CDC and Mr Fauci:  ""Make your kids get the vaccine now!"".",2021-05-28T23:29:09Z
131,Kid killers the media loves it.,2021-05-26T08:48:29Z
132,❌✅ So let’s see here this VAX _ causes (Bells paisleys) (Blindness) (enlarged Harts) (sterilization) (Rash) (miscarriages) etc.. So  tell Us which ingredient that the say is // so simple is the One That causes Such different types of _Symptoms _// this really seems Strange don’t you think 🤔 if it’s the same ingredients Shouldn’t the side effects be the same /// ❓❓❓❓❓❓❓ they are Mad Evil Demons🔥👺👋😎,2021-05-26T01:36:04Z
133,❌✅ sure hope to never see these _sick’O doctors in the wild 😜 cause if they were 💥👈💩 magic touch❌,2021-05-26T01:14:35Z
134,"Media clowns would just love to cover this up, but YOU will NEVER get these gene altering chemicals into most Americans without a bloody, brains on the ground 2nd Civil War !  There is already a REALIGNMENT of the states and map of the U.S. in the works, and we will eventually SEGREGATE from YOU liberal freaks, or YOU will pay the price for the lies and propaganda that you have been used to spread for your masters of deception and elitism !",2021-05-25T17:04:38Z
135,We know it’s only a few kids but we don’t have numbers?  Well that’s that’s an oxymoron.,2021-05-25T16:34:44Z
136,Yeah.....keep sacrificing kids while you investigate.,2021-05-25T16:17:45Z
137,🤦😢,2021-05-25T15:58:44Z
