,comments,dateStamp
142,"If there ' s no of myocarditis in unvaccinated , then it ' s the vaccine . It ' s not exactly rocket science .",2021-05-29T04:37:49Z
143,"are in a very low risk group for this virus . and : "" Make your get the vaccine now !"".",2021-05-28T23:29:09Z
144,the media it .,2021-05-26T08:48:29Z
145,❌✅ So let ’ s see here this _ ( ) ( Blindness ) ( enlarged ) ( sterilization ) ( Rash ) ( ) .. So tell Us which ingredient that the say is // so simple is the One That Such different of _Symptoms _ // this really Strange don ’ t you think 🤔 if it ’ s the same ’ t the side effects be the same /// ❓❓❓❓❓❓❓ they are Mad Evil 🔥👺👋😎,2021-05-26T01:36:04Z
146,❌✅ sure hope to never see these _sick ’ O in the wild 😜 cause if they were 💥👈💩 magic touch ❌,2021-05-26T01:14:35Z
147,"Media would just love to cover this up , but YOU will NEVER get these gene into most without a bloody , brains on the ground 2nd Civil War ! There is already a REALIGNMENT of the and map of the U . S . in the works , and we will eventually SEGREGATE from YOU liberal , or YOU will pay the price for the and propaganda that you have been used to spread for your of deception and !",2021-05-25T17:04:38Z
148,We know it ’ s only a few but we don ’ t have ? Well that ’ s that ’ s an oxymoron .,2021-05-25T16:34:44Z
149,Yeah ..... keep sacrificing while you investigate .,2021-05-25T16:17:45Z
150,🤦😢,2021-05-25T15:58:44Z
151,that ' s some skillful damage control .,2021-05-29T06:37:55Z
152,These haven ' t been by the and people are taking it . Lab .,2021-05-29T01:19:13Z
153,Recall Jay,2021-05-28T17:00:04Z
154,for no reason without any knowledge of long - term effects ....,2021-05-26T00:27:06Z
155,Go to under covid vaccine look for must read evidence pull up comment . Might just save your life .,2021-05-26T00:24:46Z
156,The Great Reset,2021-05-25T23:27:10Z
157,"18 in alone , after spending time in the hospital , the are being sent home on Heart for 30 days .",2021-05-25T22:58:35Z
